,Company,Job_Title,Location,Salary,Job_Sedcription,URL
29,PayPal,Data Scientist 1,"San Jose, CA",$107K-$170K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1044074&s=58&guid=0000017593b3146fa1a6766c634997f9&src=GD_JOB_AD&t=SR&vt=w&cs=1_9c1da6d9&cb=1604500789121&jobListingId=3698946158
30,System One,Data Scientist II,"Santa Clara, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1044072&s=149&guid=0000017593b32907b0a21cf558b4e472&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_09f1552f&cb=1604500794078&jobListingId=3712254316
31,Facebook,"Data Scientist, Legal","Menlo Park, CA",$108K-$174K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1044074&s=149&guid=0000017593b32907b0a21cf558b4e472&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_7f0edf53&cb=1604500794079&jobListingId=3686247923
32,Strivr,Lead Software Engineer - Data Platform,"Palo Alto, CA",$86K-$171K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1009419&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_87ec49a6&cb=1604500794080&jobListingId=3609988109
33,Waymo,Data Scientist,"Mountain View, CA",$88K-$134K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1006668&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_a07fb401&cb=1604500794081&jobListingId=3322175134
34,Samsung Research America,"AI Research Engineer/ Scientist, Knox Innovation","Mountain View, CA",$108K-$169K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=1139388&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8d06998b&cb=1604500794081&jobListingId=3731264817
35,Lucid Motors,"Lead Data Engineer, Big Data","Newark, CA",$120K-$217K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=1044074&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_65180a4c&cb=1604500794082&jobListingId=3685119585
36,PayPal,Data Scientist,"San Jose, CA",$111K-$174K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=1044074&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_c0f92093&cb=1604500794084&jobListingId=3697874782
37,Amobee,"Scientist/Machine Learning Engineer, Applied Science","Redwood City, CA",$83K-$139K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=1021349&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_e9de955d&cb=1604500794085&jobListingId=3537354093
38,Plenty,Staff Data Scientist,"South San Francisco, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1059337&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7f9c3536&cb=1604500794085&jobListingId=3635360296
